Match_Date,City_Name,Host_Country,Match_Date,lat,lng,Venue_Name
3-Apr-13,Kolkata,India,3-Apr-13,,,Eden Gardens
4-Apr-13,Bangalore,India,4-Apr-13,,,M Chinnaswamy Stadium
5-Apr-13,Hyderabad,India,5-Apr-13,,,"Rajiv Gandhi International Stadium, Uppal"
6-Apr-13,Delhi,India,6-Apr-13,,,Feroz Shah Kotla
6-Apr-13,Chennai,India,6-Apr-13,,,"MA Chidambaram Stadium, Chepauk"
7-Apr-13,Pune,India,7-Apr-13,,,Subrata Roy Sahara Stadium
7-Apr-13,Hyderabad,India,7-Apr-13,,,"Rajiv Gandhi International Stadium, Uppal"
8-Apr-13,Jaipur,India,8-Apr-13,,,Sawai Mansingh Stadium
9-Apr-13,Mumbai,India,9-Apr-13,,,Wankhede Stadium
10-Apr-13,Chandigarh,India,10-Apr-13,,,"Punjab Cricket Association Stadium, Mohali"
11-Apr-13,Bangalore,India,11-Apr-13,,,M Chinnaswamy Stadium
11-Apr-13,Pune,India,11-Apr-13,,,Subrata Roy Sahara Stadium
12-Apr-13,Delhi,India,12-Apr-13,,,Feroz Shah Kotla
13-Apr-13,Mumbai,India,13-Apr-13,,,Wankhede Stadium
13-Apr-13,Chennai,India,13-Apr-13,,,"MA Chidambaram Stadium, Chepauk"
14-Apr-13,Kolkata,India,14-Apr-13,,,Eden Gardens
14-Apr-13,Jaipur,India,14-Apr-13,,,Sawai Mansingh Stadium
15-Apr-13,Chennai,India,15-Apr-13,,,"MA Chidambaram Stadium, Chepauk"
16-Apr-13,Chandigarh,India,16-Apr-13,,,"Punjab Cricket Association Stadium, Mohali"
16-Apr-13,Bangalore,India,16-Apr-13,,,M Chinnaswamy Stadium
17-Apr-13,Pune,India,17-Apr-13,,,Subrata Roy Sahara Stadium
17-Apr-13,Jaipur,India,17-Apr-13,,,Sawai Mansingh Stadium
18-Apr-13,Delhi,India,18-Apr-13,,,Feroz Shah Kotla
19-Apr-13,Hyderabad,India,19-Apr-13,,,"Rajiv Gandhi International Stadium, Uppal"
20-Apr-13,Kolkata,India,20-Apr-13,,,Eden Gardens
20-Apr-13,Bangalore,India,20-Apr-13,,,M Chinnaswamy Stadium
21-Apr-13,Delhi,India,21-Apr-13,,,Feroz Shah Kotla
21-Apr-13,Chandigarh,India,21-Apr-13,,,"Punjab Cricket Association Stadium, Mohali"
22-Apr-13,Chennai,India,22-Apr-13,,,"MA Chidambaram Stadium, Chepauk"
23-Apr-13,Bangalore,India,23-Apr-13,,,M Chinnaswamy Stadium
16-May-13,Dharamsala,India,16-May-13,,,Himachal Pradesh Cricket Association Stadium
24-Apr-13,Kolkata,India,24-Apr-13,,,Eden Gardens
25-Apr-13,Chennai,India,25-Apr-13,,,"MA Chidambaram Stadium, Chepauk"
26-Apr-13,Kolkata,India,26-Apr-13,,,Eden Gardens
